wp_index,x,y,segment_length_m,cumulative_length_m
0,-0.015529612929899628,0.013799056587387781,0.0,0.0
1,0.03447038781515843,0.013799056587387781,0.05,0.05
2,0.08447038856021649,0.013799056587387781,0.05,0.1
3,0.13447038930527455,0.013799056587387781,0.05,0.15
4,0.1844703900503326,0.013799056587387781,0.05,0.2
5,0.23447039079539067,0.013799056587387781,0.05,0.25
6,0.28447039154044873,0.013799056587387781,0.05,0.3
7,0.3344703922855068,0.013799056587387781,0.05,0.35
8,0.38447039303056485,0.013799056587387781,0.05,0.4
9,0.4344703937756229,0.013799056587387781,0.05,0.45
10,0.48447039452068097,0.013799056587387781,0.05,0.5
11,0.534470395265739,0.013799056587387781,0.05,0.55
12,0.5844703960107971,0.013799056587387781,0.05,0.6
13,0.6344703967558551,0.013799056587387781,0.05,0.65
14,0.6844703975009132,0.013799056587387781,0.05,0.7
15,0.7344703982459713,-0.03620094415767028,0.070711,0.770711
16,0.7844703989910293,-0.08620094490272834,0.070711,0.841421
17,0.8344703997360874,-0.08620094490272834,0.05,0.891421
18,0.8844704004811454,-0.08620094490272834,0.05,0.941421
19,0.9344704012262035,-0.08620094490272834,0.05,0.991421
20,0.9844704019712616,-0.08620094490272834,0.05,1.041421
21,1.0344704027163196,-0.08620094490272834,0.05,1.091421
22,1.0844704034613777,-0.08620094490272834,0.05,1.141421
23,1.1344704042064357,-0.08620094490272834,0.05,1.191421
24,1.1844704049514938,-0.08620094490272834,0.05,1.241421
25,1.2344704056965519,-0.08620094490272834,0.05,1.291421
26,1.28447040644161,-0.08620094490272834,0.05,1.341421
27,1.334470407186668,-0.08620094490272834,0.05,1.391421
28,1.384470407931726,-0.08620094490272834,0.05,1.441421
29,1.434470408676784,-0.08620094490272834,0.05,1.491421
30,1.4844704094218422,-0.08620094490272834,0.05,1.541421
31,1.5344704101669002,-0.08620094490272834,0.05,1.591421
32,1.5844704109119583,-0.1362009456477864,0.070711,1.662132
33,1.6344704116570163,-0.1362009456477864,0.05,1.712132
34,1.6844704124020744,-0.1362009456477864,0.05,1.762132
35,1.7344704131471325,-0.1362009456477864,0.05,1.812132
36,1.7844704138921905,-0.1362009456477864,0.05,1.862132
37,1.8344704146372486,-0.1362009456477864,0.05,1.912132
38,1.8844704153823066,-0.1362009456477864,0.05,1.962132
39,1.9344704161273647,-0.1362009456477864,0.05,2.012132
40,1.9844704168724228,-0.1362009456477864,0.05,2.062132
41,2.034470417617481,-0.1362009456477864,0.05,2.112132
42,2.084470418362539,-0.1362009456477864,0.05,2.162132
