timestamp_s,elapsed_s,robot_x,robot_y,robot_yaw,path_x,path_y,delta,cross_track_error,heading_error
0.02,0.018000000000000002,-18.44,4.29,1.5699999999999998,,,0.0,0.0,0.0
0.04,0.038,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.060000000000000005,0.058,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.08,0.078,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.094,0.092,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.12000000000000001,0.11800000000000001,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.135,0.133,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.153,0.151,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.17300000000000001,0.171,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.199,0.197,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.21800000000000003,0.21600000000000003,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.23500000000000001,0.233,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.26,0.258,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.277,0.275,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.29900000000000004,0.29700000000000004,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.317,0.315,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.338,0.336,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.35900000000000004,0.35700000000000004,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.377,0.375,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.401,0.399,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.42000000000000004,0.41800000000000004,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.437,0.435,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.46,0.458,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.48000000000000004,0.47800000000000004,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.5,0.498,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.519,0.517,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.533,0.531,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.554,0.552,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.5720000000000001,0.5700000000000001,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.5920000000000001,0.5900000000000001,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.612,0.61,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.632,0.63,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.653,0.651,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.676,0.674,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.6930000000000001,0.6910000000000001,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.7200000000000001,0.7180000000000001,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.741,0.739,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.76,0.758,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.777,0.775,-18.439999999999998,4.290000000006462,1.5699999999999998,,,0.0,0.0,0.0
0.795,0.793,-18.439999999999998,4.290000000006622,1.5699999999999998,,,0.0,0.0,0.0
0.8140000000000001,0.812,-18.439999999999998,4.290000000006782,1.5699999999999998,,,0.0,0.0,0.0
0.8340000000000001,0.8320000000000001,-18.439999999999998,4.290000000006942,1.5699999999999998,,,0.0,0.0,0.0
0.8600000000000001,0.8580000000000001,-18.439999999999998,4.290000000007102,1.5699999999999998,,,0.0,0.0,0.0
0.88,0.878,-18.439999999999998,4.290000000007262,1.5699999999999998,,,0.0,0.0,0.0
0.895,0.893,-18.439999999999998,4.290000000007422,1.5699999999999998,,,0.0,0.0,0.0
0.913,0.911,-18.439999999999998,4.2900000000075815,1.5699999999999998,,,0.0,0.0,0.0
0.936,0.934,-18.439999999999998,4.290000000007741,1.5699999999999998,,,0.0,0.0,0.0
0.9600000000000001,0.9580000000000001,-18.439999999999998,4.290000000007901,1.5699999999999998,,,0.0,0.0,0.0
